연번,행정동,설치 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,통 제작연월,최초설치
147,여의도동,여의도동 2-11,버스정류소,원통형,일반쓰레기,2018-00,2018-00
148,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2018-00,2023-00
149,여의도동,여의도동 2-11,버스정류소,원통형,일반쓰레기,2018-00,2018-00
150,여의도동,여의도동 2-11,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2018-00,2023-00
151,신길3동,신길동 355-672,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
152,신길3동,신길동 355-672,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
153,신길6동,신길동 3591,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
154,신길6동,신길동 3591,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
155,신길5동,신길동 253-314,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
156,신길5동,신길동 253-314,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
157,신길5동,신길로 89,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
158,신길5동,신길로 89,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
159,영등포본동,신길동 104-6,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
160,영등포본동,신길동 104-6,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
161,신길4동,신길로 200-17 ,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
162,신길4동,신길로 200-17 ,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
163,신길7동,신길동 1376-1,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
164,신길7동,신길동 1376-1,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
165,신길1동,신길동 31-10,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
166,신길1동,신길동 31-10,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
167,양평2동,양화동 1-73,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
168,양평2동,양화동 1-73,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
169,양평2동,양화동 1-48,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
170,양평2동,양화동 1-48,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
171,당산2동,양평로 70-1,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
172,당산2동,양평로 70-1,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
173,당산2동,당산로 214,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
174,당산2동,당산로 214,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
175,영등포동,영중로 145,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
176,영등포동,영중로 145,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
177,영등포동,영중로 154,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
178,영등포동,영중로 154,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
179,양평1동,양평동1가 20,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
180,양평1동,양평동1가 20,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
181,문래동,문래동3가 68-1,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
182,문래동,문래동3가 68-1,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
183,문래동,문래동3가 55-12,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
184,문래동,문래동3가 55-12,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
185,영등포동,영등포로 252,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
186,영등포동,영등포로 252,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
187,영등포동,영등포로 255,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
188,영등포동,영등포로 255,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
189,문래동,문래동3가 68-1,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-07,2024-00
190,문래동,문래동3가 68-1,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-07,2024-00
191,여의도동,여의대로 14,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
192,여의도동,여의대로 14,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
193,여의도동,여의대로 108,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
194,여의도동,여의대로 108,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
195,여의도동,여의나루로 121,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
196,여의도동,여의나루로 121,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
197,여의도동,여의도동 2-2,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
198,여의도동,여의도동 2-2,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
199,여의도동,국제금융로 10,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
200,여의도동,국제금융로 10,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
201,여의도동,여의나루로 71,버스정류소,일반 사각 쓰레기통,일반쓰레기,2024-12,2024-00
202,여의도동,여의나루로 71,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2024-12,2024-00
