연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
95,강북구,노해로,노해로 90 참숯바베큐 앞 버스정류장(09-895),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
96,강북구,노해로,노해로 90 참숯바베큐 앞 버스정류장(09-895),정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
97,강북구,삼양로,삼양로 543 버스정류장(09-107),정류소(버스 가로변),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
98,강북구,삼양로,삼양로 543 버스정류장(09-107),정류소(버스 가로변),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
99,강북구,노해로,노해로 36 수유3동주민센터 횡단보도 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
100,강북구,노해로,노해로 36 수유3동주민센터 횡단보도 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2015년 이전,환경공무관,2025-08-02
101,강북구,삼양로,삼양로 420 배용표 내과 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
102,강북구,삼양로,삼양로 420 배용표 내과 앞,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
103,강북구,인수봉로,수유동 553-3(인수봉로)극동아파트 버스정류장(09-117),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
104,강북구,인수봉로,인수봉로 160 버스정류장(09-814),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
105,강북구,도봉로,도봉로 332 수유역3번출구 마을버스정류장(09-595),정류소(버스 가로변),일반쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
106,강북구,도봉로,도봉로 332 수유역3번출구 마을버스정류장(09-595),정류소(버스 가로변),재활용쓰레기,일반 사각,2016년 설치,환경공무관,2025-08-02
