연번,도로명주소,유형,자료기준일자
121,서울특별시 강북구 한천로 983 수송초등학교 버스정류장(09-209),일반쓰레기,2025-08-20
122,서울특별시 강북구 노해로 57 수유중앙시장 옆 버스정류장(09-313),일반쓰레기,2025-08-20
123,서울특별시 강북구 노해로 57 수유중앙시장 옆 버스정류장(09-313),재활용쓰레기,2025-08-20
124,서울특별시 강북구 덕릉로41길 12 북부시장입구 버스정류장(09-150),일반쓰레기,2025-08-20
125,서울특별시 강북구 덕릉로 32-1 화계역 2번출구 앞,일반쓰레기,2025-08-20
126,서울특별시 강북구 삼양로 678 북한산우이역 1번출구 앞,일반쓰레기,2025-08-20
127,서울특별시 강북구 인수봉로 269 인수초등학교 앞 버스정류장(09-116),일반쓰레기,2025-08-20
128,서울특별시 강북구 인수봉로 269 인수초등학교 앞 버스정류장(09-116),일반쓰레기,2025-08-20
129,서울특별시 강북구 도봉로 328 수유역 4번 출구 앞,일반쓰레기,2025-08-20
130,서울특별시 강북구 도봉로 328 수유역 4번 출구 앞,재활용쓰레기,2025-08-20
131,서울특별시 강북구 한천로 939 한성운수종점 버스정류장(09-290),일반쓰레기,2025-08-20
132,서울특별시 강북구 오현로 207 402동 앞 번동주공아파트4단지 앞 버스정류장(09-180),일반쓰레기,2025-08-20
133,서울특별시 강북구 오현로 207 402동 앞 번동주공아파트4단지 앞 버스정류장(09-180),재활용쓰레기,2025-08-20
134,서울특별시 강북구 오현로 207 번동4단지 맞은편 초안교 앞 버스정류장(09-181),일반쓰레기,2025-08-20
135,서울특별시 강북구 오현로 207 번동4단지 맞은편 초안교 앞 버스정류장(09-181),재활용쓰레기,2025-08-20
136,서울특별시 강북구 월계로 173 북서울꿈의숲 버스정류장(09-271),일반쓰레기,2025-08-20
137,서울특별시 강북구 월계로 173 북서울꿈의숲 버스정류장(09-271),재활용쓰레기,2025-08-20
138,서울특별시 강북구 오현로 117 오동골프공원 북서울꿈의숲 버스정류장(09-239),일반쓰레기,2025-08-20
139,서울특별시 강북구 월계로 173(번동 산 28-6)북서울꿈의숲 동문 버스정류장(09-187),일반쓰레기,2025-08-20
140,서울특별시 강북구 한천로105길 24 번동주공아파트1단지 버스정류장(09-185),일반쓰레기,2025-08-20
141,서울특별시 강북구 한천로105길 24 번동주공아파트1단지 버스정류장(09-185),재활용쓰레기,2025-08-20
142,서울특별시 강북구 한천로 833 건너편번동주공아파트3단지 앞 버스정류장(09-183),일반쓰레기,2025-08-20
143,서울특별시 강북구 한천로 833 건너편번동주공아파트3단지 앞 버스정류장(09-183),재활용쓰레기,2025-08-20
144,서울특별시 강북구 오현로 9 송중초 앞 버스정류장(09-245),재활용쓰레기,2025-08-20
145,서울특별시 강북구 도봉로 341 수유역 7번 출구 앞,일반쓰레기,2025-08-20
146,서울특별시 강북구 삼각산로 16(인수동 환경미화원 후생관) 앞,일반쓰레기,2025-08-20
