연번,자치구명,설치위치(도로명주소),설치위치(지번주소),행정(동),세부 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,위도,경도,설치연도
70,광진구,아차산로 613,광장동331-3,광장동,워커힐아파트.광장동(05-172),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54773546028539,127.10657284266044,2024
71,광진구,아차산로 642,광장동 148-4,광장동,워커힐아파트앞(05-173),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54981951131589,127.10850526966897,2021
72,광진구,아차산로 642,광장동 148-4,광장동,워커힐아파트앞(05-173),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54981951131589,127.10850526966897,2024
73,광진구,아차산로 78길 90,광장동 112,광장동,광진정보도서관 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.5510821127563,127.110606116055,2024
74,광진구,아차산로 78길 90,광장동 112,광장동,광진정보도서관 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.5510821127563,127.110606116055,2024
75,광진구,광나루로 56길 8,구의동 630,구의3동,광진구 민방위교육센터 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.5390137894969,127.097718441139,2020
76,광진구,광나루로 56길 8,구의동 630,구의3동,광진구 민방위교육센터 앞,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.5390137894969,127.097718441139,2024
77,광진구,광나루로 578,구의동 202-1,광장동,올림픽대교북단사거리(05-165),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54343091196863,127.09329644505526,2020
78,광진구,광나루로 578,구의동 202-1,광장동,올림픽대교북단사거리(05-165),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54343091196863,127.09329644505526,2020
79,광진구,광나루로 533,구의동 66-59,구의2동,래미안구의파크스위트(05-155),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54501326663105,127.08895033825534,2020
80,광진구,광나루로 533,구의동 66-59,구의2동,래미안구의파크스위트(05-155),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54501326663105,127.08895033825534,2020
81,광진구,광나루로 412,화양동 527-1,화양동,어린이대공원역3번출구(05-231),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54677074518195,127.07522609305263,2019
82,광진구,광나루로 412,화양동 527-1,화양동,어린이대공원역3번출구(05-231),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54677074518195,127.07522609305263,2019
83,광진구,광나루로 491,구의동253-47,능동,구의사거리.광진소방서앞(05-142),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.54505273850926,127.08427131799478,2021
84,광진구,광나루로 491,구의동253-47,능동,구의사거리.광진소방서앞(05-142),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.54505273850926,127.08427131799478,2021
85,광진구,강변역로 41,구의동 589-10,구의3동,강변역B(05-266),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.536184250207135,127.0937654505399,2020
86,광진구,강변역로 41,구의동 589-10,구의3동,강변역B(05-266),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.536184250207135,127.0937654505399,2020
87,광진구,강변역로 41,구의동 589-10,구의3동,강변역B(05-266) 맞은편,정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53623846273434,127.09357317313577,2019
88,광진구,강변역로 41,구의동 589-10,구의3동,강변역B(05-266) 맞은편,정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53623846273434,127.09357317313577,2020
89,광진구,강변역로 50,구의동 546-1,구의3동,동서울터미널 흡연부스 앞,기타,마대걸이형 쓰레기통,일반쓰레기,37.534728518138714,127.0945386506274,2018
90,광진구,강변역로 50,구의동 546-1,구의3동,동서울터미널 흡연부스 앞,기타,마대걸이형 쓰레기통,재활용쓰레기,37.534728518138714,127.0945386506274,2018
91,광진구,강변역로 53,구의동 546-6,구의3동,강변역2번출구 미화원휴게실 앞 ,지하철역 입구,마대걸이형 쓰레기통,일반쓰레기,37.53478663799847,127.0950931202332,2018
92,광진구,강변역로 53,구의동 546-6,구의3동,강변역2번출구 미화원휴게실 앞 ,지하철역 입구,마대걸이형 쓰레기통,재활용쓰레기,37.53478663799847,127.0950931202332,2018
93,광진구,강변역로 4길 107,구의동 214-7,구의3동,강변역(C)(05-162),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53664810748949,127.093964034913,2020
94,광진구,강변역로 4길 107,구의동 214-7,구의3동,강변역(C)(05-162),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53664810748949,127.093964034913,2020
95,광진구,강변역로 102,구의동 214-7,구의3동,강변역(D)(05-267),정류소(버스+택시 등),일반 사각 쓰레기통,일반쓰레기,37.53682837483818,127.09387940222386,2020
96,광진구,강변역로 102,구의동 214-7,구의3동,강변역(D)(05-267),정류소(버스+택시 등),일반 사각 쓰레기통,재활용쓰레기,37.53682837483818,127.09387940222386,2020
97,광진구,강변역로 53,구의동 546-6,구의3동,동서울 터미널 신호등,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.53593598416114,127.09438177354761,2020
98,광진구,강변역로 53,구의동 546-6,구의3동,동서울 터미널 신호등,도로변(횡단보도 포함),일반 사각 쓰레기통,재활용쓰레기,37.53593598416114,127.09438177354761,2024
99,광진구,구의강변로 84,구의동 658,구의3동,세영아파트 앞 횡단보도,도로변(횡단보도 포함),일반 사각 쓰레기통,일반쓰레기,37.53725001801526,127.09334248820599,2019
