연번,설치위치(도로명주소),세부위치,설치장소유형,쓰레기통형태,수거쓰레기종류,데이터기준일자
66,서울특별시 서초구 방배천로 91,이수역 5번 출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
67,서울특별시 서초구 동작대로 24,사당역 11번 출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
68,서울특별시 서초구 방배천로 11,사당역 12번 출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
69,서울특별시 서초구 방배중앙로 215,이수교차로 교통섬,기타,기타(텀블러형 등),재활용쓰레기,2025-05-28
70,서울특별시 서초구 서초중앙로238,신한은행 반포남금융센터 앞,상가지역,기타(텀블러형 등),재활용쓰레기,2025-05-28
71,서울특별시 서초구 명달로134,"버스정류장 앞(22922),세란병원앞",정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
72,서울특별시 서초구 고무래로34,버스정류장 앞(22466),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
73,서울특별시 서초구 서초동1498-47(서초대로),서리풀문화광장 앞,도로변(횡단보도 포함),기타(텀블러형 등),재활용쓰레기,2025-05-28
74,서울특별시 서초구 서운로104,버스정류장 앞(22117),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
75,서울특별시 서초구 서운로107,버스정류장 앞(22118),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
76,서울특별시 서초구 서운로212,버스정류장 앞(22164),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
77,서울특별시 서초구 서운로201,버스정류장 앞(22163),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
78,서울특별시 서초구 양재대로54,버스정류장 앞(22607),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
79,서울특별시 서초구 양재대로2길 90,"서초힐스아파트 앞, 버스정류장(22286)",정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
80,서울특별시 서초구 매헌로24,버스정류장 앞(22422),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
81,서울특별시 서초구 매헌로116,양재시민의 숲 5번 출구 앞,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
82,서울특별시 서초구 헌릉로13,"버스정류장 앞(22302), 코트라앞",정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
83,서울특별시 서초구 원지동594-10(청계산로),청계산입구 역 2번 출구,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
84,서울특별시 서초구 잠원로14길 32,버스정류장(22175),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
85,서울특별시 서초구 신반포로 105,반포 푸르지오101동 횡단보도앞,도로변(횡단보도 포함),기타(텀블러형 등),재활용쓰레기,2025-05-28
86,서울특별시 서초구 신반포로 105,신반포역사거리(세화고등학교옆),도로변(횡단보도 포함),기타(텀블러형 등),재활용쓰레기,2025-05-28
87,서울특별시 서초구 신반포로 194,버스정류장(22211),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
88,서울특별시 서초구 효령로 386,버스정류장(22128),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
89,서울특별시 서초구 남부순환로 350길4,양재역 5번 출구뒤,지하철역 입구,기타(텀블러형 등),재활용쓰레기,2025-05-28
90,서울특별시 서초구 반포동1-13,원베일리정류장(22381),정류소(버스 가로변),기타(텀블러형 등),재활용쓰레기,2025-05-28
